yymm,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,Target
0316 16:40,-6.2,-30.084,-6.764,-10.788,0.214,-43.076,-7.316,4.627,-5.7,8.544,16.198,0.122,0.493,0.422,-0.959,-4.483,-10.664,-0.33,0.935,-6.031,-7.695,1.956,-3.652,-0.551,-8.503,1.071,46.728
0316 16:50,-6.5,-29.917,-7.187,-10.855,0.214,-42.916,-7.804,4.794,-6.033,8.561,16.198,0.056,0.433,0.305,-0.892,-4.876,-10.998,-0.33,0.935,-6.091,542.305,1.749,-3.652,-0.581,-8.646,1.171,22.65
0316 17:00,-6.967,-29.75,-7.854,-10.888,0.214,-42.249,-8.189,4.96,-6.793,8.577,16.198,-0.038,0.433,0.188,-0.892,-5.353,-11.331,-0.397,0.935,-6.161,502.305,1.822,-3.652,-0.708,-8.646,1.231,16.458
0316 17:10,-7.56,-28.75,-7.987,-10.888,0.214,-42.116,-8.383,4.627,-7.193,8.644,6.198,0.089,0.433,0.105,-0.892,-5.079,-11.664,-0.397,0.905,-5.941,232.305,1.589,-3.807,-0.741,-8.836,1.261,19.94
0316 17:20,-7.827,-27.75,-7.86,-10.888,0.214,-41.116,-8.586,4.294,-7.093,8.711,-3.802,0.396,0.433,0.022,-0.892,-4.646,-11.998,-0.487,0.905,-5.731,252.305,1.256,-3.762,-0.808,-9.169,1.261,8.472
0316 17:30,-7.827,-26.75,-7.42,-10.888,0.214,-40.882,-8.719,3.96,-6.026,8.777,6.198,0.662,0.433,-0.062,-0.892,-4.379,-12.331,-0.427,0.845,-5.511,222.305,1.189,-3.762,-0.841,-9.346,1.261,10.451
0316 17:40,-7.894,-25.75,-7.087,-10.943,0.214,-40.809,-8.949,3.627,-5.86,8.844,6.198,0.932,0.433,-0.145,-0.892,-4.483,-12.664,-0.397,0.778,-5.291,322.305,1.049,-3.852,-0.841,-9.406,1.261,41.378
0316 17:50,-7.764,-24.75,-6.854,-10.925,0.214,-40.509,-9.016,3.294,-6.06,8.911,-3.802,0.992,0.4,-0.228,-0.892,-4.483,-12.998,-0.457,0.745,-5.081,412.305,0.739,-3.792,-0.951,-9.406,1.294,17.357
0316 18:00,-7.564,-23.75,-6.387,-10.998,0.181,-39.646,-9.086,2.96,-5.626,8.977,16.198,1.159,0.333,-0.312,-0.892,-4.583,-13.331,-0.397,0.745,-4.861,642.305,0.412,-3.792,-0.951,-9.346,1.361,29.959
0316 18:10,-7.43,-23.584,-5.057,-10.962,0.181,-38.246,-9.086,2.96,-3.626,9.027,16.198,1.299,0.333,-0.395,-0.892,-4.716,-13.164,-0.397,0.678,-4.931,492.305,0.219,-3.792,-0.951,-9.436,1.361,22.62
0316 18:20,-7.037,-23.417,-3.53,-10.888,0.148,-36.946,-8.756,2.96,-0.21,9.077,16.198,1.332,0.266,-0.478,-0.892,-4.213,-12.998,-0.242,0.745,-4.991,292.305,0.022,-3.822,-0.951,-9.369,1.443,4.658
0316 18:30,-6.527,-23.25,-1.854,-10.788,0.148,-36.679,-8.289,2.96,0.937,9.127,26.198,1.23,0.233,-0.562,-0.892,-3.87,-12.831,-0.087,0.745,-5.061,662.305,-0.184,-3.822,-0.841,-9.273,1.471,44.806
0316 18:40,-6.152,-23.084,-1.548,-10.722,0.114,-36.249,-7.883,2.96,-0.063,9.177,16.198,1.122,0.233,-0.645,-0.925,-3.309,-12.664,-0.02,0.745,-5.131,462.305,-0.254,-3.852,-0.816,-9.236,1.471,13.145
0316 18:50,-5.967,-22.917,-1.63,-10.755,0.114,-35.916,-7.689,2.96,-0.126,9.227,6.198,1.366,0.123,-0.728,-0.925,-2.176,-12.498,0.137,0.745,-5.191,242.305,-0.381,-3.852,-0.741,-9.176,1.471,35.558
0316 19:00,-5.967,-22.75,-1.19,-10.688,0.114,-35.412,-7.383,2.96,-0.326,9.277,-3.802,1.559,0.123,-0.812,-0.892,-1.583,-12.331,0.41,0.745,-5.261,222.305,-0.648,-3.852,-0.611,-9.409,1.471,12.477
0316 19:10,-6.094,-22.084,-1.19,-10.598,0.114,-34.952,-7.116,2.794,-1,9.327,16.198,1.896,0.123,-0.978,-0.892,-1.116,-12.664,0.637,0.745,-5.241,172.305,-0.914,-3.852,-0.551,-9.536,1.471,44.831
0316 19:20,-6.094,-21.417,-1.287,-10.532,0.114,-33.549,-6.919,2.627,-1.26,9.377,16.198,2.022,0.123,-1.145,-0.892,-1.176,-12.998,0.703,0.745,-5.231,82.305,-1.444,-3.852,-0.485,-9.436,1.504,8.721
0316 19:30,-5.967,-20.75,-1.487,-10.462,0.114,-32.816,-6.786,2.46,-1.5,9.427,26.198,2.056,0.056,-1.312,-0.892,-1.583,-13.331,0.74,0.745,-5.211,42.305,-1.578,-3.986,-0.485,-9.376,1.571,23.406
0316 19:40,-5.937,-20.084,-1.697,-10.388,0.114,-32.276,-6.749,2.294,-1.76,9.477,16.198,2.056,0.056,-1.478,-0.892,-2.109,-13.664,0.813,0.745,-5.191,32.305,-1.784,-4.219,-0.415,-9.346,1.571,39.775
0316 19:50,-5.937,-19.417,-1.957,-10.388,0.114,-31.549,-6.823,2.127,-2.126,9.527,16.198,1.799,0.023,-1.645,-0.892,-2.609,-13.998,0.847,0.745,-5.181,42.305,-2.044,-4.552,-0.341,-9.346,1.571,17.073
0316 20:00,-5.564,-18.75,-2.227,-10.388,0.114,-30.809,-6.859,1.96,-2.326,9.577,16.198,1.659,0.023,-1.812,-0.892,-2.883,-14.331,0.913,0.845,-5.161,22.305,-2.384,-4.896,-0.241,-9.376,1.571,23.927
0316 20:10,-5.364,-18.25,-2.42,-10.388,0.114,-30.276,-6.749,1.794,-2.7,9.627,26.198,1.459,-0.037,-1.978,-0.892,-3.216,-14.664,0.913,0.905,-5.211,32.305,-2.578,-4.896,-0.241,-9.376,1.571,13.039
0316 20:20,-5.2,-17.75,-2.727,-10.388,0.114,-29.876,-6.749,1.627,-2.9,9.677,16.198,1.332,-0.037,-2.145,-0.892,-3.416,-14.998,0.913,0.935,-5.261,42.305,-2.851,-5.352,-0.141,-9.406,1.571,49.292
0316 20:30,-5.127,-17.25,-3.06,-10.388,0.114,-29.609,-6.859,1.46,-3.036,9.727,16.198,1.299,-0.067,-2.312,-0.892,-3.579,-15.331,1.013,0.935,-5.311,62.305,-2.978,-5.829,-0.141,-9.346,1.571,21.919
0316 20:40,-5.064,-16.75,-3.13,-10.388,0.114,-29.414,-6.859,1.294,-3.43,9.777,16.198,1.232,-0.067,-2.478,-0.892,-3.653,-15.664,1.013,0.968,-5.361,42.305,-3.166,-6.089,-0.111,-9.573,1.571,36.533
0316 20:50,-4.937,-16.25,-3.264,-10.388,0.114,-29.719,-6.889,1.127,-3.963,9.827,16.198,1.122,-0.067,-2.645,-0.892,-3.713,-15.998,1.013,1.035,-5.411,42.305,-3.321,-6.419,-0.051,-9.573,1.571,34.044
0316 21:00,-4.937,-15.75,-3.49,-10.388,0.114,-29.646,-6.949,0.96,-4.23,9.877,26.198,1.056,-0.1,-2.812,-0.892,-3.653,-16.331,1.013,1.035,-5.461,32.305,-3.448,-6.619,-0.051,-9.536,1.671,45.382
0316 21:10,-4.937,-15.75,-3.69,-10.388,0.114,-28.876,-7.049,0.96,-4.426,9.911,-3.802,0.992,-0.167,-2.845,-0.892,-3.683,-16.164,1.013,1.035,-5.481,22.305,-3.648,-6.829,-0.051,-9.536,1.671,38.043
0316 21:20,-5,-15.75,-3.69,-10.388,0.114,-28.209,-7.123,0.96,-4.693,9.944,-3.802,0.932,-0.167,-2.878,-0.892,-3.743,-15.998,1.013,1.145,-5.491,-27.695,-3.788,-7.022,-0.051,-9.406,1.671,42.683
0316 21:30,-5.26,-15.75,-3.557,-10.388,0.048,-27.309,-7.159,0.96,-4.793,9.977,-3.802,0.832,-0.167,-2.912,-0.892,-3.743,-15.831,0.98,1.071,-5.511,-7.695,-3.911,-7.152,-0.051,-9.213,1.671,12.734
0316 21:40,-5.664,-15.75,-3.49,-10.388,0.048,-27.042,-7.219,0.96,-4.91,10.011,6.198,0.832,-0.167,-2.945,-0.892,-3.743,-15.664,0.963,1.001,-5.531,2.305,-3.911,-7.226,-0.081,-8.869,1.571,22.692
0316 21:50,-6.304,-15.75,-3.653,-10.388,0.014,-26.476,-7.286,0.96,-5,10.044,-3.802,0.732,-0.167,-2.978,-0.892,-3.843,-15.498,0.913,0.912,-5.541,-7.695,-4.048,-7.462,-0.166,-8.544,1.546,39.246
0316 22:00,-6.834,-15.75,-3.794,-10.425,0.014,-26.082,-7.359,0.96,-5.096,10.077,-3.802,0.732,-0.2,-3.012,-0.892,-3.843,-15.331,0.913,0.778,-5.561,-7.695,-4.181,-7.522,-0.241,-8.406,1.471,29.586
0316 22:10,-6.967,-14.917,-3.794,-10.425,0.014,-25.552,-7.359,0.794,-5.096,10.094,6.198,0.659,-0.267,-3.162,-0.892,-3.843,-15.498,0.913,0.745,-5.561,-57.695,-4.284,-7.689,-0.275,-8.503,1.361,49.402
0316 22:20,-6.627,-14.084,-3.854,-9.822,0.014,-25.146,-7.486,0.627,-5.06,10.111,-3.802,0.622,-0.167,-3.312,-0.892,-3.809,-15.664,0.88,0.745,-5.561,-37.695,-4.211,-7.096,-0.415,-8.243,1.361,46.38
0316 22:30,-6.737,-13.25,-3.92,-9.628,0.048,-24.649,-7.659,0.46,-5.06,10.127,-3.802,0.622,-0.167,-3.462,-0.892,-3.743,-15.831,0.813,0.645,-5.561,-57.695,-4.321,-5.826,-0.485,-7.606,1.361,44.278
0316 22:40,-6.737,-12.417,-3.86,-9.355,0.114,-24.176,-7.586,0.294,-4.97,10.144,-3.802,0.589,-0.167,-3.612,-0.892,-3.683,-15.998,0.813,0.645,-5.561,-57.695,-4.248,-5.286,-0.551,-6.939,1.361,28.465
0316 22:50,-6.827,-11.584,-3.487,-9.222,0.048,-24.016,-7.516,0.127,-5.03,10.161,-3.802,0.522,-0.167,-3.762,-0.892,-3.683,-16.164,0.74,0.535,-5.561,-67.695,-4.351,-4.752,-0.641,-6.339,1.361,45.995
0316 23:00,-6.827,-10.75,-3.36,-9.065,0.114,-23.476,-7.449,-0.04,-4.933,10.177,-3.802,0.522,-0.167,-3.912,-0.892,-3.616,-16.331,0.703,0.468,-5.561,-67.695,-4.478,-4.419,-0.708,-5.873,1.361,14.509
0316 23:10,-6.827,-10.084,-3.294,-8.925,0.114,-22.809,-7.449,-0.206,-4.793,10.194,-3.802,0.522,-0.167,-4.078,-0.992,-3.543,-16.664,0.637,0.435,-5.581,-57.695,-4.621,-4.192,-0.775,-5.279,1.361,12.812
0316 23:20,-6.767,-9.417,-3.16,-8.822,0.114,-22.416,-7.359,-0.373,-4.67,10.211,-3.802,0.492,-0.167,-4.245,-0.992,-3.543,-16.998,0.603,0.435,-5.591,-47.695,-4.754,-3.992,-0.841,-5.006,1.294,36.048
0316 23:30,-6.827,-8.75,-2.987,-8.688,0.114,-21.114,-7.359,-0.54,-4.596,10.227,-3.802,0.432,-0.167,-4.412,-0.992,-3.483,-17.331,0.603,0.345,-5.611,-47.695,-5.066,-3.807,-0.951,-4.973,1.201,8.139
0316 23:40,-6.827,-8.084,-2.787,-8.598,0.114,-20.676,-7.249,-0.706,-4.56,10.244,-3.802,0.432,-0.167,-4.578,-0.992,-3.513,-17.664,0.573,0.278,-5.631,-37.695,-5.188,-3.726,-1.018,-4.906,1.201,24.107
0316 23:50,-6.737,-7.417,-2.794,-8.532,0.048,-19.542,-7.189,-0.873,-4.5,10.261,-3.802,0.432,-0.167,-4.745,-0.992,-3.453,-17.998,0.513,0.245,-5.641,-57.695,-5.381,-3.652,-1.141,-5.003,1.138,49.017
0317 00:00,-6.737,-6.75,-2.52,-8.443,0.114,-19.319,-7.016,-1.04,-4.47,10.277,-3.802,0.399,-0.217,-4.912,-0.992,-3.379,-18.331,0.413,0.245,-5.661,-37.695,-5.444,-3.522,-1.141,-5.003,1.071,35.739
0317 00:10,-6.737,-6.084,-2.294,-8.388,0.048,-18.786,-6.949,-0.873,-4.396,10.294,-3.802,0.332,-0.267,-4.995,-0.992,-3.379,-18.331,0.413,0.211,-5.611,-57.695,-5.644,-3.389,-1.241,-5.073,1.038,30.16
0317 00:20,-6.737,-5.417,-2.294,-8.322,0.114,-17.612,-6.859,-0.706,-4.293,10.311,-3.802,0.332,-0.267,-5.078,-0.992,-3.416,-18.331,0.38,0.145,-5.561,-37.695,-5.821,-3.322,-1.308,-5.073,0.971,37.83
0317 00:30,-6.7,-4.75,-2.22,-8.255,0.048,-16.812,-6.786,-0.54,-4.36,10.327,-3.802,0.332,-0.267,-5.162,-0.992,-3.343,-18.331,0.313,0.145,-5.511,-47.695,-5.748,-3.262,-1.451,-4.973,0.971,2.129
0317 00:40,-6.627,-4.084,-2.16,-8.188,0.081,-16.609,-6.719,-0.373,-4.36,10.344,-3.802,0.332,-0.267,-5.245,-0.992,-3.343,-18.331,0.313,0.145,-5.461,-37.695,-5.851,-3.152,-1.451,-4.773,0.898,44.629
0317 00:50,-6.594,-3.417,-2.22,-8.188,0.014,-15.409,-6.659,-0.206,-4.36,10.361,-3.802,0.399,-0.267,-5.328,-0.992,-3.276,-18.331,0.231,0.035,-5.411,-47.695,-5.851,-3.086,-1.551,-4.436,0.861,38.335
0317 01:00,-6.602,-2.75,-2.125,-8.128,0.114,-14.986,-6.549,-0.04,-4.293,10.377,-3.802,0.332,-0.267,-5.412,-0.992,-3.343,-18.331,0.203,0.01,-5.361,-47.695,-5.778,-3.022,-1.574,-4.376,0.794,23.614
0317 01:10,-6.627,-1.75,-2.094,-8.098,0.048,-14.579,-6.549,-0.04,-4.26,10.394,-3.802,0.332,-0.267,-5.612,-0.992,-3.268,-10.998,0.103,-0.065,-5.391,-47.695,-5.911,-2.962,-1.708,-4.136,0.761,44.88
0317 01:20,-6.527,-0.75,-2.22,-8.032,0.114,-14.019,-6.516,-0.04,-4.2,10.411,-3.802,0.332,-0.267,-5.812,-0.992,-3.243,-3.664,0.103,-0.065,-5.431,-47.695,-6.048,-2.962,-1.741,-3.743,0.761,20.357
0317 01:30,-6.527,0.25,-2.16,-7.962,0.114,-12.552,-6.449,-0.04,-4.17,10.427,-3.802,0.332,-0.267,-6.012,-0.992,-3.309,3.669,0.073,-0.065,-5.461,-57.695,-6.121,-2.889,-1.808,-3.336,0.761,38.359
0317 01:40,-6.437,1.25,-2.13,-7.888,0.048,-11.749,-6.419,-0.04,-4.17,10.444,-3.802,0.332,-0.267,-6.212,-1.092,-3.243,11.002,0.013,-0.095,-5.491,-37.695,-6.211,-2.822,-1.841,-2.869,0.731,47.082
0317 01:50,-6.364,2.25,-2.13,-7.888,0.114,-10.949,-6.359,-0.04,-4.06,10.461,-3.802,0.332,-0.267,-6.412,-1.025,-3.243,18.336,0.013,-0.155,-5.531,-47.695,-6.211,-2.762,-1.915,-2.676,0.671,38.259
0317 02:00,-6.327,3.25,-1.987,-7.888,0.114,-10.409,-6.359,-0.04,-4.06,10.477,-3.802,0.332,-0.267,-6.612,-1.025,-3.243,25.669,-0.053,-0.155,-5.561,-47.695,-6.151,-2.652,-2.051,-2.436,0.671,32.534
0317 02:10,-6.327,3.083,-1.86,-7.788,0.114,-10.187,-6.359,-0.04,-4.06,10.477,-3.802,0.266,-0.34,-6.612,-1.092,-3.243,25.669,-0.087,-0.155,-5.581,-47.695,-6.286,-2.652,-2.051,-2.176,0.671,46.167
0317 02:20,-6.327,2.916,-1.72,-7.788,0.114,-9.579,-6.304,-0.04,-4.06,10.477,-3.802,0.332,-0.34,-6.612,-1.042,-3.243,25.669,-0.153,-0.189,-5.591,-67.695,-6.311,-2.619,-2.081,-2.206,0.571,13.5
0317 02:30,-6.327,2.75,-1.66,-7.688,0.114,-9.352,-6.249,-0.04,-4.03,10.477,-3.802,0.232,-0.377,-6.612,-1.025,-3.243,25.669,-0.187,-0.255,-5.611,-67.695,-6.344,-2.552,-2.141,-1.946,0.571,48.003
0317 02:40,-6.297,2.583,-1.457,-7.688,0.014,-9.079,-6.249,-0.04,-3.97,10.477,-3.802,0.232,-0.377,-6.612,-1.025,-3.183,25.669,-0.187,-0.255,-5.631,-67.695,-6.411,-2.507,-2.175,-1.809,0.571,22.066
0317 02:50,-6.237,2.416,-1.197,-7.688,0.114,-9.042,-6.249,-0.04,-4.06,10.477,-3.802,0.122,-0.377,-6.612,-1.092,-3.153,25.669,-0.297,-0.255,-5.641,-67.695,-6.711,-2.352,-2.241,-1.736,0.571,13.121
0317 03:00,-6.237,2.25,-1.094,-7.688,0.114,-7.642,-6.189,-0.04,-4.06,10.477,-3.802,0.122,-0.377,-6.612,-1.092,-3.153,25.669,-0.297,-0.289,-5.661,-37.695,-6.778,-2.352,-2.341,-1.646,0.504,18.13
0317 03:10,-6.164,2.416,-0.954,-7.598,0.048,-6.952,-6.159,-0.206,-3.97,10.477,-3.802,0.122,-0.377,-6.645,-1.092,-3.043,25.669,-0.297,-0.355,-5.681,-47.695,-6.811,-2.352,-2.341,-1.706,0.571,45.132
0317 03:20,-6.127,2.583,-0.794,-7.598,0.114,-6.619,-6.159,-0.373,-3.97,10.477,-3.802,0.122,-0.377,-6.678,-1.092,-3.043,25.669,-0.363,-0.355,-5.691,-47.695,-6.811,-2.352,-2.378,-1.809,0.471,14.74
0317 03:30,-6.127,2.75,-0.66,-7.658,0.114,-6.249,-6.159,-0.54,-3.97,10.477,-3.802,0.089,-0.444,-6.712,-1.092,-3.116,25.669,-0.427,-0.355,-5.711,-47.695,-7.011,-2.352,-2.451,-1.809,0.471,10.716
0317 03:40,-6.127,2.916,-0.594,-7.658,0.114,-5.582,-6.159,-0.706,-3.896,10.477,-3.802,0.089,-0.477,-6.745,-1.092,-3.043,25.669,-0.427,-0.392,-5.731,-47.695,-6.944,-2.352,-2.551,-1.909,0.434,2.608
0317 03:50,-6.127,3.083,-0.52,-7.598,0.114,-5.446,-6.049,-0.873,-3.97,10.477,-3.802,0.089,-0.477,-6.778,-1.092,-3.116,25.669,-0.487,-0.465,-5.741,-47.695,-7.044,-2.352,-2.551,-2.036,0.361,46.807
0317 04:00,-6.127,3.25,-0.487,-7.598,0.114,-4.979,-6.049,-1.04,-3.97,10.477,-3.802,0.022,-0.477,-6.812,-1.092,-3.043,25.669,-0.487,-0.465,-5.761,-47.695,-7.178,-2.352,-2.581,-2.146,0.361,42.026
0317 04:10,-6.102,3.583,-0.42,-7.598,0.114,-4.216,-6.049,-1.04,-3.915,10.477,-3.802,0.022,-0.477,-6.862,-1.092,-3.043,25.502,-0.537,-0.465,-5.741,-57.695,-7.311,-2.352,-2.641,-2.146,0.361,30.646
0317 04:20,-6.027,3.916,-0.42,-7.598,0.114,-3.416,-6.049,-1.04,-3.86,10.477,-3.802,0.022,-0.477,-6.912,-1.092,-3.043,25.336,-0.587,-0.465,-5.731,-57.695,-7.378,-2.352,-2.708,-2.146,0.361,2.426
0317 04:30,-6.027,4.25,-0.39,-7.598,0.048,-2.442,-5.949,-1.04,-3.86,10.477,-3.802,0.022,-0.477,-6.962,-1.092,-3.043,25.169,-0.587,-0.565,-5.711,-37.695,-7.411,-2.262,-2.741,-2.241,0.361,13.486
0317 04:40,-6.027,4.583,-0.33,-7.598,0.114,-1.909,-5.949,-1.04,-3.896,10.477,-3.802,0.022,-0.477,-7.012,-1.092,-3.043,25.002,-0.62,-0.565,-5.691,-47.695,-7.411,-2.262,-2.741,-2.406,0.294,38.032
0317 04:50,-6.027,4.916,-0.33,-7.532,0.048,-1.659,-5.949,-1.04,-3.97,10.477,-3.802,0.022,-0.477,-7.062,-1.092,-3.043,24.836,-0.687,-0.565,-5.681,-37.695,-7.461,-2.262,-2.841,-2.376,0.261,45.873
0317 05:00,-5.967,5.25,-0.257,-7.532,0.114,-0.776,-5.949,-1.04,-3.97,10.477,-3.802,0.022,-0.477,-7.112,-1.092,-3.043,24.669,-0.723,-0.565,-5.661,-47.695,-7.411,-2.189,-2.841,-2.503,0.261,2.13
0317 05:10,-5.937,5.75,-0.22,-7.532,0.081,-1.042,-5.949,-1.206,-3.97,10.461,-3.802,0.022,-0.477,-7.262,-1.092,-3.043,24.502,-0.797,-0.565,-5.731,-57.695,-7.478,-2.152,-2.951,-2.536,0.261,31.156
0317 05:20,-5.997,6.25,-0.22,-7.498,0.081,-0.779,-5.889,-1.373,-3.97,10.444,-3.802,0.022,-0.477,-7.412,-1.092,-3.043,24.336,-0.797,-0.625,-5.791,-47.695,-7.544,-2.152,-2.951,-2.609,0.201,1.29
0317 05:30,-5.967,6.75,-0.094,-7.498,0.114,-0.912,-5.904,-1.54,-3.97,10.427,-3.802,0.022,-0.537,-7.562,-1.147,-3.043,24.169,-0.797,-0.595,-5.861,-47.695,-7.678,-2.152,-2.985,-2.646,0.171,49.843
0317 05:40,-6.027,7.25,-0.094,-7.462,0.048,-0.019,-5.889,-1.706,-3.97,10.411,-3.802,-0.068,-0.567,-7.712,-1.129,-3.153,24.002,-0.897,-0.655,-5.931,-47.695,-7.844,-2.152,-3.051,-2.646,0.171,8.886
0317 05:50,-6.027,7.75,-0.02,-7.388,0.114,0.188,-5.949,-1.873,-3.97,10.394,-3.802,-0.068,-0.567,-7.862,-1.202,-3.079,23.836,-0.897,-0.655,-5.991,-77.695,-7.911,-2.152,-3.051,-2.736,0.171,32.743
0317 06:00,-6.027,8.25,-0.02,-7.388,0.114,0.814,-5.949,-2.04,-3.97,10.377,-3.802,-0.068,-0.537,-8.012,-1.202,-3.079,23.669,-0.897,-0.655,-6.061,-57.695,-8.011,-2.152,-3.051,-2.809,0.171,33.062
0317 06:10,-6.094,8.083,-0.094,-7.388,0.114,1.354,-5.949,-2.206,-3.97,10.444,-3.802,-0.068,-0.537,-7.979,-1.202,-3.153,23.836,-0.897,-0.689,-6.081,-67.695,-7.944,-2.152,-3.141,-2.779,0.071,41.027
0317 06:20,-6.027,7.916,-0.02,-7.388,0.114,0.991,-5.949,-2.373,-3.97,10.511,-3.802,-0.168,-0.567,-7.945,-1.202,-3.153,24.002,-0.987,-0.755,-6.091,-57.695,-7.978,-2.189,-3.141,-2.646,0.071,43.834
0317 06:30,-6.027,7.75,0.043,-7.388,0.048,0.858,-5.889,-2.54,-3.97,10.577,-3.802,-0.168,-0.567,-7.912,-1.202,-3.153,24.169,-0.987,-0.755,-6.111,-47.695,-8.178,-2.262,-3.141,-2.706,0.071,4.122
0317 06:40,-6.027,7.583,0.17,-7.322,0.048,-0.509,-5.823,-2.706,-4.03,10.644,-3.802,-0.168,-0.567,-7.879,-1.092,-3.116,24.336,-1.053,-0.755,-6.131,-47.695,-8.711,-2.262,-3.141,-2.646,0.071,41.535
0317 06:50,-6.127,7.416,0.17,-7.288,0.114,-0.449,-5.823,-2.873,-4.03,10.711,-3.802,-0.234,-0.567,-7.845,-1.165,-3.116,24.502,-0.987,-0.755,-6.141,-37.695,-9.104,-2.262,-3.241,-2.736,0.071,20.851
0317 07:00,-6.127,7.25,0.17,-7.288,0.048,0.384,-5.859,-3.04,-4.036,10.777,-3.802,-0.201,-0.567,-7.812,-1.202,-3.043,24.669,-1.02,-0.755,-6.161,-47.695,-9.444,-2.226,-3.241,-2.736,0.071,3.332
0317 07:10,-6.194,7.916,0.14,-7.628,0.114,1.251,-5.859,-2.873,-4.036,10.827,-3.802,-0.268,-0.6,-7.762,-1.202,-3.243,24.336,-1.087,-0.855,-5.991,-37.695,-9.578,-2.152,-3.275,-2.876,-0.029,5.217
0317 07:20,-6.477,8.583,-0.078,-8.028,0.081,2.136,-6.116,-2.706,-4.015,10.877,6.198,-0.411,-0.667,-7.712,-1.202,-3.946,24.002,-1.087,-0.855,-5.831,-37.695,-9.611,-2.352,-3.341,-3.136,0.038,36.556
0317 07:30,-6.594,9.25,-0.324,-8.255,0.081,2.624,-6.383,-2.54,-4.2,10.927,-3.802,-0.478,-0.7,-7.662,-1.202,-4.213,23.669,-1.087,-0.855,-5.661,-7.695,-9.578,-2.352,-3.341,-3.836,-0.029,29.703
0317 07:40,-6.737,9.916,-0.52,-8.462,0.081,3.224,-6.616,-2.373,-4.26,10.977,6.198,-0.523,-0.767,-7.612,-1.202,-4.453,23.336,-1.087,-0.855,-5.491,-27.695,-9.511,-2.452,-3.341,-4.303,-0.102,26.729
0317 07:50,-6.797,10.583,-0.454,-8.628,0.081,4.021,-6.823,-2.206,-4.133,11.027,-3.802,-0.568,-0.767,-7.562,-1.202,-4.609,23.002,-1.087,-0.855,-5.331,-47.695,-9.341,-2.726,-3.341,-4.941,-0.139,2.425
0317 08:00,-6.864,11.25,-0.22,-8.688,0.081,4.754,-6.983,-2.04,-3.86,11.077,6.198,-0.568,-0.767,-7.512,-1.202,-4.743,22.669,-1.02,-0.965,-5.161,-57.695,-9.141,-3.122,-3.241,-5.536,-0.239,30.767
0317 08:10,-6.937,8.916,-0.22,-8.822,0.014,6.084,-7.123,-1.873,-3.97,11.094,16.198,-0.601,-0.804,-7.045,-1.202,-4.743,16.002,-0.987,-0.965,-5.081,-27.695,-8.744,-3.456,-3.308,-5.869,-0.239,36.943
0317 08:20,-6.497,6.583,-0.22,-8.888,0.014,6.358,-7.389,-1.706,-4.163,11.111,26.198,-0.668,-0.804,-6.578,-1.202,-4.809,9.336,-0.987,-0.759,-4.991,232.305,-8.478,-3.859,-3.241,-6.103,-0.239,5.89
0317 08:30,-6.164,4.25,-0.354,-9.032,0.014,6.518,-7.516,-1.54,-4.47,11.127,26.198,-0.668,-0.804,-6.112,-1.202,-4.779,2.669,-1.087,-0.292,-4.911,162.305,-8.011,-4.192,-3.241,-6.369,-0.239,18.33
0317 08:40,-6.027,1.916,-0.697,-9.098,0.114,6.318,-7.704,-1.373,-4.53,11.144,-3.802,-0.668,-0.877,-5.645,-1.202,-4.653,-3.998,-1.087,0.378,-4.831,102.305,-7.611,-4.726,-3.208,-6.603,-0.329,6.752
0317 08:50,-6.3,-0.417,-0.957,-9.098,0.114,5.588,-7.923,-1.206,-4.596,11.161,6.198,-0.668,-0.877,-5.178,-1.202,-4.743,-10.664,-1.087,0.838,-4.744,52.305,-7.111,-4.452,-3.141,-6.809,-0.329,14.856
0317 09:00,-6.664,-2.75,-1.287,-9.098,0.304,4.714,-8.123,-1.04,-4.796,11.177,-3.802,-0.668,-0.877,-4.712,-1.202,-4.683,-17.331,-1.087,0.935,-4.661,-27.695,-6.718,-3.407,-3.018,-7.073,-0.429,45.404
0317 09:10,-6.737,-3.917,-1.487,-9.098,0.404,3.114,-8.286,-0.873,-5,11.161,6.198,-0.668,-0.877,-4.312,-1.202,-4.653,-17.331,-1.087,0.875,-4.511,-37.695,-6.211,-2.962,-2.745,-7.206,-0.429,5.646
0317 09:20,-6.737,-5.084,-1.997,-9.098,0.404,1.188,-8.359,-0.706,-5.06,11.144,-3.802,-0.734,-0.877,-3.912,-1.129,-4.653,-17.331,-1.087,0.811,-4.361,-17.695,-5.811,-3.022,-2.108,-7.346,-0.429,28.227
0317 09:30,-6.737,-6.25,-2.664,-9.098,0.478,-0.779,-8.549,-0.54,-5.03,11.127,6.198,-0.878,-0.877,-3.512,-1.129,-5.013,-17.331,-1.053,0.745,-4.211,-27.695,-5.314,-3.052,-1.581,-7.406,-0.429,0.429
0317 09:40,-6.497,-7.417,-3.32,-9.098,0.404,-2.979,-8.749,-0.373,-4.97,11.111,-3.802,-0.878,-0.877,-3.112,-1.202,-4.813,-17.331,-0.987,0.745,-4.061,-17.695,-4.848,-3.119,-1.041,-7.536,-0.462,39.375
